"","tree_id","longitude","latitude","tot_needle_wt","scanned_LA","scanned_wt","canopy_area","CanDia1","CanDia2","dieback_pc","max_height","base_live_canopy","crown_depth","live_crown_ratio","diameter_at_base_wet","diameter_at_30_cm","disk_diameter_wet","disk_diameter_dry","base_ba_wet","disk_ba_wet","disk_ba_dry","inside_bark_area","inside_bark_diam","heartwood_area","sapwood_area","bark_thickness","wet_mass_small_partititon","wet_mass_large_partititon","wet_mass_total","moisture_content_of_small_partition","moisture_content_of_large_partition","moisture_content_of_total","dry_mass_small_partititon","dry_mass_large_partititon","dry_mass_total_g","dry_mass_total_kg","proportion_subsampled_and_dried_small_partition","proportion_subsampled_and_dried_large_partition","proportion_subsampled_and_dried_total","drone_canopy_height_min","drone_canopy_height_max","HAG_plotmean_of_cellmax_m","HAG_plotmedian_of_cellmax_m","HAG_plot90percentile_of_cellmax_m","Notes","LMA","LA_m2","canopy_area_from_daim","proportion_small_biomass","proportion_large_biomass","DBH_cm","swa_residuals","normalised_swa_residuals"
"1","P01",-106.236,34.44074,NA,NA,NA,8.460590396,3.759327,2.934082,5,6.4,1.8,4.6,0.72,21.1,19.1,20.2,19.4,349.7,320.5,296,231.8,17.2,42.6,189.2,1.1,71960,114430,186390,0.422,0.414,0.417,41582.18,67035.8,108617.97,108.62,0.03,0.11,0.08,0,6.7,0.4874,0.07,0.21,NA,NA,NA,8.66307815243698,0.382829655166636,0.617170436899161,17.69353,46.1060514620902,0.243689489757348
"2","P02",-106.236,34.44057,NA,NA,NA,2.645390598,2.140357,1.64593,5,3.1,1.1,2,0.65,9.7,8.4,9.3,8.9,73.9,67.9,61.7,44.1,7.5,7.2,36.9,0.7,13280,8280,21560,0.626,0.4,0.513,4960.97,4966.98,9927.95,9.93,0.15,0.49,0.28,0.02,2.14,0.1589,0.13,0.16,"Some Gambel oak was removed from this plot prior to survey and harvest.",NA,NA,2.7668617516453,0.499697319184726,0.500302680815274,6.49531,-1.53365238199451,-0.0415623951760031
"3","P03",-106.235,34.4405,NA,NA,NA,1.193102742,1.313168,1.118446,0,1.1,0,1.1,1,5.4,3.4,5.2,4.7,22.9,21.2,17.4,12.6,4,1,11.6,0.4,4620,440,5060,0.477,0.485,0.478,2414.01,226.7,2640.71,2.64,0.43,1,0.48,0.01,1.12,0.3309,0.1,0.87,"At 30 cm height there were three stems measuring 3.4, 1.3 and 1.1 cm in diameter. May need to digitally remove any points from overhanging branches but that would be straightforward.",NA,NA,1.15352017065531,0.914151875821275,0.0858481241787247,NA,-2.74896109406087,-0.236979404660419
"4","P04",-106.235,34.4407,NA,NA,NA,5.233433409,2.80439,2.30396,10,2.9,0,2.9,1,12.7,9.6,12.4,11.6,126.7,120.8,106.2,78.6,10,15.7,62.9,0.8,29960,12620,42580,0.591,0.429,0.531,12244.85,7204.5,19449.35,19.45,0.11,0.41,0.2,0,2.67,0.3802,0,1.73,"Very good candidate",NA,NA,5.07461648604697,0.629576309748141,0.370423690251859,9.44221,0.317592063460658,0.00504915840160029
"5","P05",-106.235,34.4403,NA,NA,NA,14.07776113,4.507671,4.006287,10,6.7,0.7,6,0.9,22.1,21.9,22.1,20.2,383.6,383.6,321.8,242.8,17.6,121.1,121.7,1.3,77230,179120,256350,0.452,0.385,0.403,42302.79,110227.44,152530.23,152.53,0.02,0.03,0.03,0,6.59,0.8783,0.07,3.97,"Diameter measured above swell damage. Non-square plot",NA,NA,14.1835240683899,0.277340367217698,0.722659632782301,18.67583,-44.9426084797434,-0.36929012719592
"6","P06",-106.234,34.4401,134,20.74,0.585,0.119399881,0.638884,0.234538,5,0.7,0,0.7,1,2.6,NA,2.4,1.9,5.3,4.5,2.8,2.1,1.6,0.2,1.9,0.1,627,NA,627,0.411,NA,0.411,369.3,NA,369.3,0.37,1,NA,1,0,0.57,0.1092,0,0.4,"Lovely small one",282.063645130183,0.509587604614775,0.1176860836687,1,NA,NA,-1.9702136965454,-1.03695457712916
"7","P07",-106.234,34.43914,NA,NA,NA,0.036290395,0.232834,0.1905,5,0.6,0.1,0.5,0.83,2.7,NA,2.2,2,5.7,3.8,3.1,2,1.6,0.3,1.7,0.2,500,NA,500,0.494,NA,0.494,252.96,NA,252.96,0.25,0.98,NA,0.98,0,0.38,0.0623,0,0.28,"Lovely small one",NA,NA,0.0348362389335197,1,NA,NA,-1.63958555618324,-0.964462091872496
"8","P08",-106.234,34.43942,4306.3,21.67,0.528,2.588042809,2.100666,1.572606,5,3.4,0.2,3.2,0.94,13.4,11.9,12.4,11.8,141,120.8,109.7,71.5,9.5,33,38.5,1.1,26200,14480,40680,0.407,0.377,0.396,15538.28,9019.93,24558.21,24.56,0.08,0.27,0.15,0,3.26,0.7825,0.04,2.82,NA,243.654822335025,16.3763962817359,2.59457850587192,0.632712237577576,0.367287762422424,10.12982,-24.0824079365393,-0.625517089260762
"9","P09",-106.234,34.4395,NA,NA,NA,0.346102843,0.737657,0.553618,5,2.2,0.7,1.5,0.68,5.7,4.8,5.7,5.3,25.5,25.5,22.1,14.4,4.3,2.9,11.5,0.5,17500,2342,19842,0.421,0.347,0.411,10132.99,1528.43,11661.43,11.66,0.13,0.71,0.2,0,2.12,0.4203,0.01,1.58,NA,NA,NA,0.320741053570516,0.868932026346683,0.131067116125552,2.56611,-5.26458945237257,-0.457790387162832
"10","P10",-106.234,34.43988,23.3,18.57,0.516,0.067204436,0.431262,0.169122,0,0.3,0,0.3,1,1.3,NA,1.2,1.1,1.3,1.1,0.9,0.6,0.9,0,0.6,0.1,67,NA,67,0.49,NA,0.49,34.4,NA,34.4,0.03,1,NA,1,0,0.17,0.0168,0,0.09,"Lovely small one",277.867528271405,0.0886073969218228,0.0572837155942803,1,NA,NA,-0.595536126080641,-0.992560210134402
"11","P11",-106.234,34.43989,NA,NA,NA,0.01030468,0.174545,0.118075,0,0.7,0,0.7,1,2.2,1.4,2.3,2.1,3.8,4.2,3.5,2.3,1.7,0.4,1.9,0.2,620,NA,620,0.504,NA,0.504,307.62,NA,307.62,0.31,1,NA,1,0,0.57,0.0869,0,0.45,"Lovely small one",NA,NA,0.0161865855959468,1,NA,NA,-1.70089196754457,-0.895206298707668
"12","P12",-106.234,34.44023,NA,NA,NA,3.463492591,2.257152,1.875974,25,3.8,1,2.8,0.74,12.3,11.6,13.1,12.2,118.8,134.8,116,86.4,10.5,14.7,71.7,0.8,19340,21260,40600,0.469,0.339,0.394,10275.99,14048.57,24324.56,24.32,0.05,0.07,0.06,0,3.24,0.1947,0,0.37,"High dieback, low needle retention, parasitic mistletoe present.",NA,NA,3.32565736240054,0.422453273563838,0.577546726436162,9.04929,3.0134777294289,0.0420289780952427
"13","P13",-106.235,34.4408,950.2,17.58,0.39,1.031140056,1.453158,0.867752,10,1.2,0,1.2,1,6.4,3.4,6.6,6,32.2,34.2,28.5,19.9,5,2.3,17.6,0.5,4286,1432,5718,0.507,0.381,0.47,2113.22,886.99,3000.2,3,0.61,0.75,0.65,0,1.21,0.2232,0,0.89,"At 30 cm height there were two stems measuring 3.4 and 2.3 cm in diameter.",221.843003412969,3.6135085216788,0.990371973624403,0.70435970935271,0.295643623758416,NA,-3.89297066454222,-0.221191515030808
"14","P14",-106.235,34.4409,NA,NA,NA,17.79327035,5.182142,4.647341,5,4.4,1,3.4,0.77,22.1,19.8,21.2,20.1,383.6,353,317,245.9,17.7,59.3,186.6,1.2,166800,125420,292220,0.418,0.41,0.415,96997.43,74013.38,171010.81,171.01,0.03,0.05,0.04,0,4.63,1.0012,0.01,3.703362345,"DBH measuremnt at 0.45 cm, above branch.",NA,NA,18.9148861139334,0.567200576384616,0.432799423615384,18.67583,31.2952101821384,0.167712809121857
"15","P15",-106.235,34.44118,NA,NA,NA,9.433262588,4.265202,3.275768,30,6.4,0,6.4,1,20.2,18.8,19.5,18.6,320.5,298.6,272.4,193.6,15.7,64.2,129.4,1.5,57000,96640,153640,0.364,0.379,0.373,36257.89,60003.41,96261.29,96.26,0.05,0.05,0.05,0,5.03,0.2499,0,0.36,"High dieback, low needle retention, parasitic mistletoe present.",NA,NA,10.9734356609558,0.376661168783423,0.623338935100496,16.80946,-5.39168666609507,-0.0416668212217548
"16","P16",-106.235,34.44116,NA,NA,NA,2.662311589,1.806331,1.758401,0,1.9,0,1.9,1,8.1,7.2,8.4,7.9,51.5,55.4,49,33.2,6.5,1.7,31.5,0.7,15600,4479,20079,0.482,0.449,0.474,8080.32,2467.18,10547.5,10.55,0.09,0.65,0.21,0,1.88,0.5378,0.27,1.44,"Diameter measured above a branch and the base.",NA,NA,2.49462424401189,0.76608864659872,0.23391135340128,4.92363,-0.844262839022896,-0.0268019948896157
"17","P17",-106.236,34.44102,NA,NA,NA,4.526890773,2.495619,2.243086,5,3.2,0,3.2,1,11.4,9.2,11.2,10.6,102.1,98.5,88.6,61.9,8.9,7.4,54.5,0.9,23820,12920,36740,0.461,0.389,0.433,12842.93,7896.83,20739.76,20.74,0.02,0.2,0.09,0,3.4,0.4829,0.05,2.38,"Diameter measured above swell at the base",NA,NA,4.39657098570432,0.619241977727804,0.380758022272196,8.16522,1.83308634631159,0.0336346118589282
"18","P18",-106.235,34.44022,NA,NA,NA,7.174969546,3.653398,2.410178,10,6,2.2,3.8,0.63,22.7,20.2,22.3,20.7,404.7,390.6,336.7,262.2,18.3,114,148.2,1.2,48920,77100,126020,0.464,0.35,0.389,26200.2,50107.88,76308.08,76.31,0.03,0.05,0.04,0,6.36,1.4299,0.08,5.18,"Leaning lots.",NA,NA,6.91569745948751,0.34334765073371,0.65665234926629,19.26521,-21.0064591471447,-0.14174398884713
"19","P19",-106.235,34.43915,NA,NA,NA,10.32372136,4.215611,3.1838,20,5.1,1.6,3.5,0.69,17.9,17.1,16.5,16.1,251.6,213.8,204.5,149.1,13.8,46.8,102.3,1.2,57840,51400,109240,0.375,0.35,0.363,36165.87,33392.92,69558.79,69.56,0.06,0.11,0.09,0,5.22,0.9502,0.01,3.81,"Thin crown (only ca. 2-3 years of needles). Juniper next to base was removed prior to survey and harvest.",NA,NA,10.5413489215745,0.519932419756008,0.480067580243992,14.55017,0.743560743261568,0.00726843346296743
"20","P20",-106.235,34.43911,14450.3,20.77,0.601,7.39114382,3.378985,2.723644,5,5.1,1.4,3.7,0.73,19.3,18.8,18.3,17.6,292.6,263,242.8,196.3,15.8,60.9,135.4,0.9,46440,78520,124960,0.406,0.385,0.393,27572.45,48287.7,75860.15,75.86,0.07,0.06,0.07,0,4.85,1.4176,0.03,4.13,"An adjacent Juniper next to base was removed prior to survey and harvest.",289.359653346172,54.9529385295887,7.22813885210758,0.363464216719846,0.636535783280154,15.92539,14.3636599959578,0.106083160974577
